entity_id,wikidata_id,name,description,types,aliases
36,Q101326,Johann Wilhelm Spengel,German zoologist (1852–1921),Q5,"J. W. Sprengel, Spengel"
37,Q10133,Suetonius,late 1st/early 2nd-century Roman historian,Q5,"C. Suetonius Tranquillus, Caius Suetonius Tranquillus, Gaio Svetonio Tranquillo, Gaius Suetonius Tranquillus, Sueton, Suetone, Suétone, Suetone Tranquile, Sveton, Svetonio, Tranquillus Suetonius"
38,Q101333,mechanical engineering,type of engineering discipline (not the studies),Q12015335,"machine construction, mechanical construction, mechanic engineering"
39,Q101338,Reinhard Höhn,German politician and writer (1904-2000),Q5,
40,Q101339,Gustav Adolf Harald Stenzel,German archivist and historian (1792-1854),Q5,
41,Q101383,Hans Reffert,"German musician, composer and artist (1946–2016)",Q5,
42,Q1014,Liberia,sovereign state in West Africa,Q6256|Q7270|Q3624078,"Liber, lr, Republic of Liberia"
43,Q101437,Pius II,pope of the Catholic Church from 1458 to 1464 (1405–1464),Q5,"Silvio Piccolomini, Æneas Silvius, Aeneas Silvius Piccolomini, Aeneas Sylvius Piccolominus, Enea Silvio Bartolomeo Piccolomini, Enea Silvio Piccolomini, Eneas Silvius Piccolomini, papa Pio II, Papa Pío II, pape Pie II, Pius II. Papst, Pius PP. II, Pope Pius II"
44,Q101494,Dolf Sternberger,German political scientist (1907–1989),Q5,
45,Q101521,Diedrich Diederichsen,"German author, journalist and cultural critic (born 1957)",Q5,
46,Q101567,Friedrich Wilhelm Semmler,German politician (1860-1931),Q5,
47,Q1016,Libya,sovereign state in North Africa,Q6256|Q3624078|Q51576574,"ly, LBA, State of Libya"
48,Q101638,Mary Wollstonecraft,English writer and intellectual (1759–1797),Q5,"Mary Godwin, Mary Wollstonecraft Godwin, Mr. Cresswick"
49,Q1017,Aachen,"city in North Rhine-Westphalia, Germany",Q902814|Q1187811|Q1549591|Q1780389|Q4946461|Q42744322|Q85635630,"Aix la Chapelle, Aix-la-Chapelle, Oche"
50,Q1017002,Burschenschaft Germania Tübingen,,Q174921,
51,Q1017117,Burton C. Bell,American heavy metal vocalist,Q5,"Burton Bell, Burton Christopher Bell"
52,Q101715,Jesco von Puttkamer,German-American aerospace engineer; senior NASA manager (1933-2012),Q5,Jesco Hans Heinrich Max Freiherr von Puttkamer
53,Q101727,Otto Depenheuer,German legal academic,Q5,
54,Q101728,Michael Rossmann,German-American physicist and microbiologist,Q5,"Michael G Rossmann, Michael G. Rossmann, Michael George Rossmann"
55,Q101734,Antje Nikola Mönning,German actress,Q5,"Antje Monning, Antje Mönning"
56,Q101740,Benoit Mandelbrot,"Polish-born, French and American mathematician (1924–2010)",Q5,"Benoit B. Mandelbrot, Benoît Mandelbrot, Mandelbrot, B. B."
57,Q101797,Winona Ryder,American actress,Q5,
58,Q101809,Thomas Schneider,German Egyptologist (born 1964),Q5,
59,Q101820,Berthold Altaner,German Church historian and theologian (1885-1964),Q5,
60,Q101849,Reformed Christianity,branch of Protestantism,Q9174|Q123129246,"Calvinism, Reformed church, Calvinist Christianity, Reformed, Reformed faith, Reformed Protestantism, Reformed tradition"
61,Q1018838,Bárbara Jacobs,"Mexican writer, poet, essayist and translator",Q5,Barbara Jacobs
62,Q101886,Joachim von Ribbentrop,German Foreign Minister of Nazi Germany (1893–1946),Q5,"Ullrich Friedrich Willy Joachim Ribbentrop, Ullrich Friedrich Willy Joachim von Ribbentrop, Ulrich Friedrich-Wilhelm Joachim von Ribbentrop"
63,Q1019,Madagascar,"island sovereign state off the coast of Southeast Africa, in the Indian Ocean",Q6256|Q112099|Q179164|Q3624078,"MAD, Malagascar, Malagaskar, MDG, mg, Republic of Madagascar"
64,Q101915,Georg Christian Friedrich Lisch,"German librarian, archaeologist and prehistorian (1801–1883)",Q5,
65,Q101919,August Müller,politician (1873-1946),Q5,
66,Q101995,Wilhelm Koenen,East German politician (1886-1963),Q5,
67,Q1020,Malawi,sovereign state in Africa,Q6256|Q7270|Q123480|Q3624078,"MAW, mw, Republic of Malawi"
68,Q102022,Alwin Schultz,German art historian and medievalist (1838-1909),Q5,
69,Q102071,Tove Jansson,Finnish children's writer and illustrator (1914–2001),Q5,"Tove M. Jansson, Tove Marika Jansson"
70,Q102112,Gerhard Kegel,German politician and jurist (1907-1989),Q5,
71,Q102124,Sigourney Weaver,American actress (born 1949),Q5,Susan Alexandra Weaver
72,Q102139,Margrethe II of Denmark,Queen of Denmark from 1972 to 2024 (born 1940),Q5,"Ingahild Grathmer, Margrethe II"
73,Q10218,Rahul Gandhi,Indian politician (1970-present),Q5,"RaGa, Rahul Rajiv Gandhi, RG"
74,Q1022,Stuttgart,"city on the Neckar river and capital of the federal state Baden-Württemberg, Germany",Q253030|Q1066984|Q1549591|Q2327515|Q14784328|Q42744322|Q106517174,
75,Q102225,Harry Potter and the Goblet of Fire,2005 film directed by Mike Newell,Q11424,
76,Q102235,Harry Potter and the Order of the Phoenix,2007 film directed by David Yates,Q11424,
77,Q102244,Harry Potter and the Chamber of Secrets,2002 film directed by Chris Columbus,Q11424,
78,Q10225,Indian National Congress,centrist-liberal political party in India,Q7278,"INC, Congress, Congress Party, Indian Congress Party"
79,Q102289,Buckminster Fuller,"American architect, systems theorist, author, designer, inventor and futurist (1895–1983)",Q5,"Richard Buckminster Fuller, Bucky Fuller, R. Buckminster Fuller"
80,Q102301,Joe Frazier,American boxer (1944–2011),Q5,Joseph William Frazier
81,Q102336,Karl Astel,German scientist (1898-1945),Q5,
82,Q102341,Farrah Fawcett,American actress (1947–2009),Q5,"Farrah Fawcett-Majors, Farrah Leni Fawcett, Ferrah Leni Fawcett"
83,Q1023788,CJ Mac,American rapper and actor,Q5,Bryaan Ross
84,Q102385,The Pussycat Dolls,American girl group and dance ensemble,Q215380,"Amazon, Pussycat Dolls"
85,Q102403,Heiner Koch,"German archbishop, theologian and writer",Q5,
86,Q102438,Harry Potter and the Philosopher's Stone,2001 film directed by Chris Columbus,Q11424,Harry Potter and the Sorcerer's Stone
87,Q102483,Jaroslav Seifert,"Czechoslovak poet, Nobel prize laureate (1901–1986)",Q5,
88,Q1025,Mauritania,sovereign state in West Africa and North Africa,Q6256|Q672729|Q3624078,"Agawej, Gannaar, Gànnaar, Islamic Republic of Mauritania, Mauretania, Moritani, mr, Muritanya, Murutaane"
89,Q1025106,Universal Republic Records,US record label,Q18127,
90,Q102513,Harriet Beecher Stowe,American abolitionist and author (1811–1896),Q5,"Christopher Crowfield, Enrieta Elizabeth Beecher Stowe, Harriet Beecher, Harriet Beecher Stowe, Harriet Elisabeth Beecher Stowe, Harriet Elizabeth Beecher, Harriet Elizabeth Beecher Stowe, Harriet Elizabeth Beecher-Stowe"
91,Q102541,Johannes Hertel,German indologist (1872-1955),Q5,
92,Q102551,Ernest Borgnine,American actor (1917–2012),Q5,"Ermes Borgnino, Ermes Effron Borgnino"
93,Q102568,Johannes Trojan,writer and opinion journalist (1837-1915),Q5,
94,Q102570,Friedrich Endemann,German legal historian (1857-1936),Q5,
95,Q1025919,Machine Shop Recordings,American record label,Q18127|Q2608849,"Machine Shop Records, The Shinoda Imprint"
96,Q1026,Poles,West Slavic ethnic group,Q41710|Q2472587,"Pole, Polacy, Polish people"
97,Q1026532,Caleb Carr,"American novelist, screenwriter and military historian (1955–2024)",Q5,
98,Q102660,Ruth-Maria Kubitschek,German actress (1931–2024),Q5,Ruth Maria Kubitschek
99,Q102669,Wolfgang Bittner,"German writer, lawyer and visual artist",Q5,
100,Q1026826,Ángel Crespo,Spanish poet (1926–1995),Q5,Angel Crespo
101,Q1026827,California Institute of the Arts,"private university in Santa Clarita, California, United States",Q380093|Q383092|Q902104|Q23002054,"Cal Arts, CalArts, CalArts School of Art, Chouinard Art Institute (1921-1961), Los Angeles Conservatory of Music (1883–1961)"
102,Q1026939,"California State University, Northridge","public university in Northridge, Los Angeles, California, USA",Q875538|Q23002039,"Cal State Northridge, California State University Northridge, CSU Northridge, CSUN, csun.edu"
103,Q1027,Mauritius,island sovereign state off of East Africa in the Indian Ocean,Q6256|Q112099|Q3624078|Q11815167,"Maurice, MRI, MU, Moris, Republic of Mauritius"
104,Q1027051,Calixa Lavallée,Canadian composer (1842-1891),Q5,Calixa Lavallee
105,Q102711,Dennis Hopper,American actor and film director (1936–2010),Q5,Dennis Lee Hopper
106,Q102754,Dr. No,1962 film by Terence Young,Q11424,
107,Q102788,Johann Joseph Hoffmann,German philologist (1805-1878),Q5,"J.J. Hoffmann, J.J.Hoffm."
108,Q1028,Morocco,sovereign state in North Africa,Q6256|Q41614|Q3624078|Q51576574,"ma, al-Maġrib, Kingdom of Morocco, Lmaġrib, MAR, Maroc, Marocco"
109,Q102813,Yul Brynner,russian-born american actor (1920–1985),Q5,"Taidje Khan, Youl Bryner, Yuliy Borisovich Briner, Yuliy Borisovich Bryner"
110,Q1028181,painter,artist who practices painting,Q12737077|Q88789639,
111,Q102822,Jacobus Henricus van 't Hoff,Dutch physical and organic chemist (1852-1911),Q5,"J.H. van 't Hoff, Jacobus Henricus, Jacobus van 't Hoff, Jacobus van't Hoff"
112,Q102851,Boethius,Roman senator and philosopher of the early 6th century (480–524),Q5,"Anicius Manlius Severinus Boëthius, Anicius Manlius Torquatus Severinus Boethius, Anicus Manlius Severinus Boethius"
113,Q102852,Peter de Mendelssohn,"German-British writer, historian and essayist (1908–1982)",Q5,"Carl Johann Leuchtenberg, Peter von Mendelssohn"
114,Q10287,Manuel Valls,French and Spanish politician,Q5,Manuel Carlos Valls Galfetti
115,Q1028715,Cameron Daddo,Australian actor and musician,Q5,Cameron Peter Daddo
116,Q1028859,Judge Dread,English musician (1945–1998),Q5,"Alexander Hughes, Alexander Minto Hughes"
117,Q1029,Mozambique,country in Southeastern Africa; the current form of Mozambique since 1975,Q6256|Q7270|Q3624078,"Moçambique, MOZ, mz, MZ, Republic of Mozambique, República de Moçambique"
118,Q102902,Rainer Kirsch,German translator (1934–2015),Q5,"Kirsch, Rainer"
119,Q102905,Elisabeth Borchers,German writer (1926–2013),Q5,
120,Q10297252,crime fiction writer,writer writing fiction about crime,Q12737077,"crime writer, detective fiction author, detective fiction writer, detective writer, mystery writer"
121,Q1029853,José Paluzie y Lucena,"Spanish Esperantist, writer and chess player (1860-1938)",Q5,Jose Paluzie y Lucena
122,Q1030,Namibia,country in Southern Africa,Q6256|Q7270|Q3624078,"NAM, na, Republic of Namibia"
123,Q103002,Markus Maria Profitlich,German comedian,Q5,
124,Q103075,Udo Di Fabio,German jurist,Q5,
125,Q10308228,Jorge Riechmann,"Spanish mathematician, poet and scientist",Q5,Jorge Riechman
126,Q1031,France Prešeren,"Slovene national poet, a Carniolan Romantic poet of Slovene descent (1800–1849)",Q5,"France Prešern, Ribčev France"
127,Q103109,Werner Flume,German jurist (1908–2009),Q5,
128,Q103114,Michel Houellebecq,French writer,Q5,
129,Q1031340,Mark Linkous,American musician (1962-2010),Q5,
130,Q103157,Kurt Russell,American actor (born 1951),Q5,
131,Q103174,Ottokar Runze,"German film producer, director and screenwriter (1925–2018)",Q5,
132,Q1031847,Can Atilla,Turkish musician (born 1969),Q5,
133,Q1032,Niger,sovereign state in western Africa,Q6256|Q7270|Q123480|Q3624078,"ne, Republic Niger, Republic of Niger, Republic of the Niger, The Niger"
134,Q10327963,Mead Treadwell,American politician (born 1956),Q5,Louis Mead Treadwell II
135,Q103285,José Martí,"Cuban poet, philosopher and nationalist (1853-1895)",Q5,Jose Marianela
136,Q1032998,Samuel S. Cox,American politician (1824-1889),Q5,Samuel Sullivan Cox
137,Q1033,Nigeria,sovereign state in West Africa,Q6256|Q512187|Q3624078,"Federal Republic of Nigeria, Naija"
138,Q103343,Jennifer Connelly,American actress (born 1970),Q5,"JenCon, JennConn, Jennifer Lynn Connelly"
139,Q103357,Friedrich Erhard Niedt,German composer and music theorist,Q5,Friederich Erhardt Niedt
140,Q1033692,Santa Monica College,"public, community college in Santa Monica, California, USA",Q189004|Q1336920|Q23002039,"SMC, Santa Monica Junior College"
141,Q1033891,martial arts film,subgenre of action films,Q201658,martial arts action film
142,Q103474,2001: A Space Odyssey,1968 film by Stanley Kubrick,Q11424,"2001 A Space Odyssey, 2001 Space Odyssey, 2001: Space Odyssey"
143,Q103476,Arthur Brauss,German actor,Q5,Art Brauss
144,Q10349745,racing automobile driver,occupation driving an automobile in competition,Q28640|Q12737077,"racing driver, auto racing driver, automobile racing driver, driver of racing automobiles, race car driver, racecar driver, racing car driver"
145,Q103527,Wibke Bruhns,German journalist and news presenter (1938–2019),Q5,Wibke Gertrud Bruhns
146,Q1035323,Henri Blaze,"French author, playwright, poet and composer (1813-1888)",Q5,Henry Blaze de Bury
147,Q103562,Erich Fascher,German politician and theologian (1897-1978),Q5,
148,Q103569,Alien,1979 film by Ridley Scott,Q11424,
149,Q103578,Macaulay Culkin,American actor and singer (born 1980),Q5,"Macaulay Culkin, Macaulay C. Culkin, Macaulay Carson Culkin"
150,Q103579,Claude-Oliver Rudolph,German actor and screenwriter,Q5,
151,Q1035807,Ken'ichi Maeyamada,Japanese musician,Q5,"Hyadain, Kenichi Maeyamada, Maeyamada Ken'ichi, Maeyamada Kenichi"
152,Q103583,Wolfgang Golther,German philologist (1863–1945),Q5,
153,Q103591,Germaine Greer,Australian writer and public intellectual (born 1939),Q5,"Dr. G Terf, Rose Blight"
154,Q103598,Luc Montagnier,French virologist and joint recipient of the Nobel Prize of Physiology or Medicine (2008),Q5,Luc Antoine Montagnier
155,Q1036,Uganda,country in east Africa,Q6256|Q7270|Q123480|Q3624078,"+256, Ouganda, Pearl of Africa, Republic of Uganda, The Republic of Uganda, ug, UG, UGA, Ugandah"
156,Q1036131,Dan Snaith,"Canadian mathematician and composer who has performed as Manitoba, Daphni and Caribou",Q5,"Manitoba, Caribou, Daniel Snaith, Daniel Victor Snaith, Daphni"
157,Q103623,Christoph M. Ohrt,actor,Q5,
158,Q103637,Michael Gleissner,German actor and film producer,Q5,Michael J. G. Gleissner
159,Q103646,Ron Howard,"American film director, producer, and actor",Q5,Ronald William Howard
160,Q103651,Glenn Miller,"American band leader, arranger, and composer (1904–1944)",Q5,"Alton Glen Miller, Alton Glenn Miller"
161,Q1037,Rwanda,country in East Africa,Q6256|Q7270|Q3624078,"Republic of Rwanda, The Land of a Thousand Hills"
162,Q1037263,Carl Carlton,American singer-songwriter (1953-2025),Q5,"Carlton Hudgens, Little Carl Carlton"
163,Q103767,Charlie Parker,American jazz saxophonist (1920–1955),Q5,"Bird, Charles C. Parker, Charles Christopher Parker, Jr., Charles Parker Jr., Charlie Parker Jr., Yardbird"
164,Q103774,Ravi Shankar,Indian sitar player (1920–2012),Q5,"Pandit Ravi Shankar, Robindro Shaunkor Chowdhury"
165,Q103784,Donald Sutherland,Canadian actor (1935–2024),Q5,"Donald Edward McNichol Sutherland, Donald McNichol Sutherland"
166,Q103788,Mervyn LeRoy,American film director and producer (1900–1987),Q5,Mervyn Le Roy
167,Q103835,Peter Debye,Dutch-American physicist and physical chemist (1884–1966),Q5,"P.J.W. Debije, Peter J, W, Debye, Peter Joseph William Debye, Petrus Debye, Petrus Josephus Wilhelmus Debije"
168,Q103848,Philipp Humm,artist and former German executive,Q5,Philipp Rudolf Humm
169,Q103876,Peter O'Toole,British-Irish actor (1932–2013),Q5,"Peter Seamus Lorcan O'Toole, Peter Seamus O'Toole"
170,Q1039,São Tomé and Príncipe,island sovereign state in Africa,Q6256|Q7270|Q112099|Q158454|Q3624078|Q4198907|Q11815167,"STP, Sao Tome and Principe, Democratic Republic of São Tomé and Príncipe, Sao Tome & Principe, São Tomé og Príncipe, st"
171,Q10390,John McCain,American politician (1936–2018),Q5,"John Sidney McCain III, John S. McCain, John Sidney McCain, John S. McCain III"
172,Q103917,Steven Soderbergh,American filmmaker (born 1963),Q5,"Peter Andrews, Mary Ann Bernard, Steven Andrew Soderbergh"
173,Q103939,Charlie Sheen,American actor,Q5,"Carlos Estevez, Carlos Estévez, Carlos Irwin Estevez"
174,Q103946,Kiefer Sutherland,British-Canadian actor (born 1966),Q5,
175,Q103949,Buster Keaton,"American actor, comedian, and director (1895–1966)",Q5,"Frigo, Joseph Frank Keaton, Joseph Keaton, The Great Stone Face"
176,Q103955,Gustav Stresemann,"German politician, statesman, and Nobel Peace Prize laureate (1878-1929)",Q5,"Gustav Ernst Stresemann, Stresemann, Gustav"
177,Q1039759,Magnet,Norwegian singer-songwriter,Q5,Even Johansen
178,Q1040,Karlsruhe,"city in Baden-Württemberg, Germany",Q134626|Q253030|Q1549591|Q2327515|Q42744322,"Carlsruhe, KA"
179,Q104000,Lauren Bacall,American actress (1924–2014),Q5,"Betty Joan Perske, Betty Perske, Loren Beykoll"
180,Q1040028,The Singing Detective,1986 British television series written by Dennis Potter,Q1259759,
181,Q1040186,Carl Radle,American bassist (1942–1980),Q5,Carl Dean Radle
182,Q104022,Martin Seel,German philosopher,Q5,
183,Q1040459,Hiromi Satō,Japanese singer,Q5,"Hiromi Sato, Hiromi Satou, Sato Hiromi, Satō Hiromi, Satou Hiromi"
184,Q104049,Sidney Poitier,Bahamian and American actor and diplomat (1927–2022),Q5,"Sidney L. Poitier, Sir Sidney Poitier"
185,Q104061,Steve Buscemi,American actor,Q5,Steven Vincent Buscemi
186,Q104067,Eli Wallach,American actor (1915–2014),Q5,Eli Herschel Wallach
187,Q104081,Mickey Rooney,American actor (1920–2014),Q5,"Joseph Yule, Jr., Ninian Joseph Yule, Jr."
188,Q104088,Elli Schmidt,East German politician (1908-1980),Q5,
189,Q104094,Fabian Busch,German actor,Q5,
190,Q1041,Senegal,country on the coast of West Africa,Q6256|Q7270|Q3624078|Q4209223,Republic of Senegal
191,Q1041034,Lecrae,"American rapper, singer and record producer (born 1979)",Q5,"Lecrae Devaughn Moore, Lecrae Moore"
192,Q104104,Andre Geim,Russian-born Dutch-British physicist,Q5,"A Geim, A K Geim, A. Geim, A. K. Geim, A.K. Geim, AK Geim, Andre K Geim, Andre K. Geim, Andre Konstantin Geim, Andrey Geim, Andrey K. Geim, Sir Andre Konstantin Geim"
193,Q104109,Mary Pickford,Canadian actress and producer (1892–1979),Q5,"Gladys Louise Smith, Gladys Marie Smith, Gladys Mary Moore, Gladys Smith, Gladys Moore"
194,Q10411,Odd Børretzen,"Norwegian author, illustrator, translator and singer-songwriter (1926-2012)",Q5,
195,Q104123,Pulp Fiction,1994 film by Quentin Tarantino,Q11424,
196,Q104127,Douglas Fairbanks,"American actor, screenwriter, director, and producer (1883–1939)",Q5,"Doug Fairbanks, Douglas Elton Thomas Ullman, Douglas Fairbanks, Sr., Douglas Ullman"
197,Q104137,Unforgiven,1992 American Western film directed by Clint Eastwood,Q11424,
198,Q104154,Urbain Le Verrier,French astronomer (1811-1877),Q5,"U.-J. (Urbain J.) Le Verrier, Urbain Jean Joseph Le Verrier, Urban Jean Joseph Leverrier"
199,Q1041749,Kōji Tamaki,Japanese singer-songwriter,Q5,"Koji Tamaki, Kouji Tamaki, Tamaki Kōji"
200,Q104177,Otto Lenz,Politician; Lawyer (1903-1957),Q5,
201,Q104183,Lillian Gish,American actress (1893–1993),Q5,"First Lady of American Cinema, Lillian Diana Gish"
202,Q104192,Kleinmachnow,"municipality in Brandenburg state, Germany",Q116457956,
203,Q104196,Ilja Richter,German actor and television presenter (born 1952),Q5,
204,Q1042,Seychelles,island sovereign state off the eastern coast of Africa,Q6256|Q7270|Q112099|Q3624078|Q11815167,"Republic of Seychelles, sc, SEY"
205,Q104256,Johann Micraelius,German historian (1597-1658),Q5,Johannes Micraelius
206,Q104266,Mel Brooks,"American actor, comedian, and filmmaker (born 1926)",Q5,"Melvin Brooks, Melvin Kaminsky"
207,Q104267,Theodor Litt,German philosopher (1880-1962),Q5,
208,Q1042738,Carlos Barral,"Spanish poet, politician and publisher (1928–1989)",Q5,"Carlos Barral Agesta, Carlos Barral i Agesta"
209,Q104276,Hermann Lübbe,German philosopher,Q5,
210,Q1042901,Carlos Franzetti,Argentine composer (born 1948),Q5,Carlos Alberto Franzetti
211,Q104301,Karl Weinhold,German folklorist and linguist (1823-1901),Q5,Karl Gotthelf Jakob Weinhold
212,Q104302,Chorzów,"city with powiat rights of Silesian Voivodeship, Poland",Q515|Q925381|Q1549591,"Chorzow, Königshütte"
213,Q1043170,Carlos Páez Vilaró,Uruguayan artist (1923-2014),Q5,"Carlos Paez Vilee, Carlos Paez Villaro, Carlos Paez Villaró, Carlos Paez-Vilaro"
214,Q104326,Jean-Michel Jarre,"French composer, performer and record producer (born 1948)",Q5,"Jean Michel Jarre, Jean-Michel Andre Jarre, Jean-Michel André Jarre"
215,Q104340,Harold Lloyd,American actor and comedian (1893–1971),Q5,"Harold Clayton Lloyd, Harold Clayton Lloyd, Sr."
216,Q1043527,Multilateral Investment Guarantee Agency,International financial institution,Q245065,MIGA
217,Q104358,Billie Holiday,American jazz singer (1915–1959),Q5,"Eleanora Fagan, Eleanora Fagan Gough, Lady Day"
218,Q104398,Hans-Heinz Emons,German chemist and politician,Q5,
219,Q1044,Sierra Leone,sovereign state in West Africa,Q6256|Q7270|Q3624078,"Republic of Sierra Leone, sl, SLE"
220,Q1044328,Le Nouvel Obs,weekly French newsmagazine,Q11032,"L'Obs, Le Nouvel Obs, Le Nouvel observateur, Nouvel Obs"
221,Q1044415,Carolina Slim,American Piedmont blues guitarist and singer (1923–1953),Q5,
222,Q10444417,Gillian Wearing,British artist (born 1963),Q5,
223,Q1044657,Carolyne Mas,"singer, artist, musician",Q5,Carol Patricia Mas
224,Q1045,Somalia,sovereign state in Africa,Q6256|Q7270|Q512187|Q3624078,Federal Republic of Somalia
225,Q104514,Adrien Brody,American actor,Q5,Adrien Nicholas Brody
226,Q104561,Ernst Wilhelm Eschmann,German writer (1904-1987),Q5,
227,Q1045828,University of East Anglia,"university in Norwich, England, United Kingdom",Q38723|Q5341295|Q62078547,UEA
228,Q104591,Georg Cracow,German lawyer and politician (1525-1575),Q5,
229,Q104592,Bruce Beutler,American immunologist and geneticist,Q5,Bruce Alan Beutler
230,Q1046038,Enzo Jannacci,"Italian singer songwriter, composer, actor, stand-up comedian (1935-2013)",Q5,Vincenzo Jannacci
231,Q1046066,Fueled by Ramen,American record label,Q18127,"FBR, Fueled By Ramen LLC, Fueled By Ramen, LLC"
232,Q1046612,Tom Chaplin,British musician,Q5,"Thomas Oliver ""Tom"" Chaplin, Thomas Oliver Chaplin"
233,Q1046616,Tim Rice-Oxley,English musician,Q5,Timothy James Rice-Oxley
234,Q104668,Vitaly Ginzburg,Russian physicist (1916–2009),Q5,"Vitaly L. Ginzburg, Vitaly Lazarevich Ginzburg"
235,Q104688,Matthias Bernegger,German philologist (1582-1640),Q5,
236,Q1047,Jawaharlal Nehru,Prime Minister of India from 1947 to 1964,Q5,"Chacha Nehru, Jawaharlal Motilal Nehru, Nehru, Pandit Nehru, Panditji"
237,Q1047141,Casey Anderson,Afro-American blues and folk singer,Q5,
